BASE_YM,SIGNGU_NM,SIGNGU_CD,AVRG_INCOME_PRICE
"202410","강원특별자치도 강릉시","51150","35011"
"202410","강원특별자치도 고성군","51820","31861"
"202410","강원특별자치도 동해시","51170","35174"
"202410","강원특별자치도 삼척시","51230","33787"
"202410","강원특별자치도 속초시","51210","34630"
"202410","강원특별자치도 양구군","51800","34713"
"202410","강원특별자치도 양양군","51830","33421"
"202410","강원특별자치도 영월군","51750","33310"
"202410","강원특별자치도 원주시","51130","36276"
"202410","강원특별자치도 인제군","51810","34502"
"202410","강원특별자치도 정선군","51770","33508"
"202410","강원특별자치도 철원군","51780","34503"
"202410","강원특별자치도 춘천시","51110","35647"
"202410","강원특별자치도 태백시","51190","34380"
"202410","강원특별자치도 평창군","51760","33744"
"202410","강원특별자치도 홍천군","51720","33724"
"202410","강원특별자치도 화천군","51790","33488"
"202410","강원특별자치도 횡성군","51730","33218"
"202410","경기도 가평군","41820","33900"
"202410","경기도 고양시 덕양구","41281","38589"
"202410","경기도 고양시 일산동구","41285","41646"
"202410","경기도 고양시 일산서구","41287","40850"
"202410","경기도 과천시","41290","50711"
"202410","경기도 광명시","41210","38845"
"202410","경기도 광주시","41610","36610"
"202410","경기도 구리시","41310","37980"
"202410","경기도 군포시","41410","37907"
"202410","경기도 김포시","41570","39110"
"202410","경기도 남양주시","41360","37453"
"202410","경기도 동두천시","41250","32206"
"202410","경기도 부천시 소사구","41194","35826"
"202410","경기도 부천시 오정구","41196","33091"
"202410","경기도 부천시 원미구","41192","37037"
"202410","경기도 성남시 분당구","41135","53843"
"202410","경기도 성남시 수정구","41131","36423"
"202410","경기도 성남시 중원구","41133","35372"
"202410","경기도 수원시 권선구","41113","37437"
"202410","경기도 수원시 영통구","41117","47002"
"202410","경기도 수원시 장안구","41111","37455"
"202410","경기도 수원시 팔달구","41115","35857"
"202410","경기도 시흥시","41390","35810"
"202410","경기도 안산시 단원구","41273","34060"
"202410","경기도 안산시 상록구","41271","34220"
"202410","경기도 안성시","41550","34848"
"202410","경기도 안양시 동안구","41173","43220"
"202410","경기도 안양시 만안구","41171","36249"
"202410","경기도 양주시","41630","34261"
"202410","경기도 양평군","41830","36534"
"202410","경기도 여주시","41670","34564"
"202410","경기도 연천군","41800","33881"
"202410","경기도 오산시","41370","37464"
"202410","경기도 용인시 기흥구","41463","43021"
"202410","경기도 용인시 수지구","41465","48944"
"202410","경기도 용인시 처인구","41461","36148"
"202410","경기도 의왕시","41430","40999"
"202410","경기도 의정부시","41150","34893"
"202410","경기도 이천시","41500","38045"
"202410","경기도 파주시","41480","37593"
"202410","경기도 평택시","41220","37620"
"202410","경기도 포천시","41650","32570"
"202410","경기도 하남시","41450","42277"
"202410","경기도 화성시","41590","42796"
"202410","경상남도 거제시","48310","38975"
"202410","경상남도 거창군","48880","34116"
"202410","경상남도 고성군","48820","33890"
"202410","경상남도 김해시","48250","36499"
"202410","경상남도 남해군","48840","31861"
"202410","경상남도 밀양시","48270","33017"
"202410","경상남도 사천시","48240","35373"
"202410","경상남도 산청군","48860","32850"
"202410","경상남도 양산시","48330","36081"
"202410","경상남도 의령군","48720","32592"
"202410","경상남도 진주시","48170","36766"
"202410","경상남도 창녕군","48740","33059"
"202410","경상남도 창원시 마산합포구","48125","34801"
"202410","경상남도 창원시 마산회원구","48127","35069"
"202410","경상남도 창원시 성산구","48123","41744"
"202410","경상남도 창원시 의창구","48121","36481"
"202410","경상남도 창원시 진해구","48129","37281"
"202410","경상남도 통영시","48220","33909"
"202410","경상남도 하동군","48850","32488"
"202410","경상남도 함안군","48730","34107"
"202410","경상남도 함양군","48870","32940"
"202410","경상남도 합천군","48890","32412"
"202410","경상북도 경산시","47290","32762"
"202410","경상북도 경주시","47130","34739"
"202410","경상북도 고령군","47830","32586"
"202410","경상북도 구미시","47190","37910"
"202410","경상북도 김천시","47150","35428"
"202410","경상북도 문경시","47280","33438"
"202410","경상북도 봉화군","47920","32887"
"202410","경상북도 상주시","47250","33070"
"202410","경상북도 성주군","47840","32651"
"202410","경상북도 안동시","47170","34266"
"202410","경상북도 영덕군","47770","31260"
"202410","경상북도 영양군","47760","32169"
"202410","경상북도 영주시","47210","34244"
"202410","경상북도 영천시","47230","33074"
"202410","경상북도 예천군","47900","35543"
"202410","경상북도 울릉군","47940","34557"
"202410","경상북도 울진군","47930","34738"
"202410","경상북도 의성군","47730","31517"
"202410","경상북도 청도군","47820","32476"
"202410","경상북도 청송군","47750","32535"
"202410","경상북도 칠곡군","47850","34916"
"202410","경상북도 포항시 남구","47111","37836"
"202410","경상북도 포항시 북구","47113","37223"
"202410","광주광역시 광산구","29200","36562"
"202410","광주광역시 남구","29155","38311"
"202410","광주광역시 동구","29110","37155"
"202410","광주광역시 북구","29170","35675"
"202410","광주광역시 서구","29140","38175"
"202410","대구광역시 군위군","27720","32310"
"202410","대구광역시 남구","27200","31932"
"202410","대구광역시 달서구","27290","35491"
"202410","대구광역시 달성군","27710","35916"
"202410","대구광역시 동구","27140","34846"
"202410","대구광역시 북구","27230","34604"
"202410","대구광역시 서구","27170","31353"
"202410","대구광역시 수성구","27260","43015"
"202410","대구광역시 중구","27110","37478"
"202410","대전광역시 대덕구","30230","34315"
"202410","대전광역시 동구","30110","31949"
"202410","대전광역시 서구","30170","37701"
"202410","대전광역시 유성구","30200","42352"
"202410","대전광역시 중구","30140","35236"
"202410","부산광역시 강서구","26440","40766"
"202410","부산광역시 금정구","26410","34778"
"202410","부산광역시 기장군","26710","36603"
"202410","부산광역시 남구","26290","36550"
"202410","부산광역시 동구","26170","32472"
"202410","부산광역시 동래구","26260","38293"
"202410","부산광역시 부산진구","26230","34294"
"202410","부산광역시 북구","26320","35083"
"202410","부산광역시 사상구","26530","32451"
"202410","부산광역시 사하구","26380","33744"
"202410","부산광역시 서구","26140","33482"
"202410","부산광역시 수영구","26500","36069"
"202410","부산광역시 연제구","26470","36720"
"202410","부산광역시 영도구","26200","31580"
"202410","부산광역시 중구","26110","31042"
"202410","부산광역시 해운대구","26350","41895"
"202410","서울특별시 강남구","11680","60808"
"202410","서울특별시 강동구","11740","40168"
"202410","서울특별시 강북구","11305","33387"
"202410","서울특별시 강서구","11500","38839"
"202410","서울특별시 관악구","11620","34699"
"202410","서울특별시 광진구","11215","37366"
"202410","서울특별시 구로구","11530","35287"
"202410","서울특별시 금천구","11545","33541"
"202410","서울특별시 노원구","11350","37616"
"202410","서울특별시 도봉구","11320","35239"
"202410","서울특별시 동대문구","11230","34892"
"202410","서울특별시 동작구","11590","39095"
"202410","서울특별시 마포구","11440","41596"
"202410","서울특별시 서대문구","11410","37541"
"202410","서울특별시 서초구","11650","59598"
"202410","서울특별시 성동구","11200","42626"
"202410","서울특별시 성북구","11290","38696"
"202410","서울특별시 송파구","11710","46690"
"202410","서울특별시 양천구","11470","43156"
"202410","서울특별시 영등포구","11560","40151"
"202410","서울특별시 용산구","11170","61946"
"202410","서울특별시 은평구","11380","36608"
"202410","서울특별시 종로구","11110","42436"
"202410","서울특별시 중구","11140","39186"
"202410","서울특별시 중랑구","11260","34527"
"202410","없음(세종시)","36110","43165"
"202410","울산광역시 남구","31140","41238"
"202410","울산광역시 동구","31170","37946"
"202410","울산광역시 북구","31200","42444"
"202410","울산광역시 울주군","31710","37967"
"202410","울산광역시 중구","31110","39463"
"202410","인천광역시 강화군","28710","33242"
"202410","인천광역시 계양구","28245","34444"
"202410","인천광역시 남동구","28200","35520"
"202410","인천광역시 동구","28140","33316"
"202410","인천광역시 미추홀구","28177","33449"
"202410","인천광역시 부평구","28237","35056"
"202410","인천광역시 서구","28260","37878"
"202410","인천광역시 연수구","28185","42937"
"202410","인천광역시 옹진군","28720","33386"
"202410","인천광역시 중구","28110","37419"
"202410","전라남도 강진군","46810","32860"
"202410","전라남도 고흥군","46770","31216"
"202410","전라남도 곡성군","46720","32959"
"202410","전라남도 광양시","46230","39003"
"202410","전라남도 구례군","46730","32665"
"202410","전라남도 나주시","46170","35904"
"202410","전라남도 담양군","46710","34621"
"202410","전라남도 목포시","46110","34393"
"202410","전라남도 무안군","46840","35775"
"202410","전라남도 보성군","46780","31778"
"202410","전라남도 순천시","46150","37720"
"202410","전라남도 신안군","46910","31498"
"202410","전라남도 여수시","46130","37637"
"202410","전라남도 영광군","46870","34251"
"202410","전라남도 영암군","46830","33365"
"202410","전라남도 완도군","46890","32103"
"202410","전라남도 장성군","46880","33284"
"202410","전라남도 장흥군","46800","33071"
"202410","전라남도 진도군","46900","32139"
"202410","전라남도 함평군","46860","32751"
"202410","전라남도 해남군","46820","32103"
"202410","전라남도 화순군","46790","33818"
"202410","전북특별자치도 고창군","52790","33259"
"202410","전북특별자치도 군산시","52130","35373"
"202410","전북특별자치도 김제시","52210","32391"
"202410","전북특별자치도 남원시","52190","33558"
"202410","전북특별자치도 무주군","52730","32545"
"202410","전북특별자치도 부안군","52800","31950"
"202410","전북특별자치도 순창군","52770","32843"
"202410","전북특별자치도 완주군","52710","35405"
"202410","전북특별자치도 익산시","52140","34443"
"202410","전북특별자치도 임실군","52750","32565"
"202410","전북특별자치도 장수군","52740","32583"
"202410","전북특별자치도 전주시 덕진구","52113","37318"
"202410","전북특별자치도 전주시 완산구","52111","36668"
"202410","전북특별자치도 정읍시","52180","33440"
"202410","전북특별자치도 진안군","52720","32479"
"202410","제주특별자치도 서귀포시","50130","36170"
"202410","제주특별자치도 제주시","50110","35660"
"202410","충청남도 계룡시","44250","40437"
"202410","충청남도 공주시","44150","33459"
"202410","충청남도 금산군","44710","32641"
"202410","충청남도 논산시","44230","33021"
"202410","충청남도 당진시","44270","38444"
"202410","충청남도 보령시","44180","34187"
"202410","충청남도 부여군","44760","32404"
"202410","충청남도 서산시","44210","38651"
"202410","충청남도 서천군","44770","32286"
"202410","충청남도 아산시","44200","39095"
"202410","충청남도 예산군","44810","33878"
"202410","충청남도 천안시 동남구","44131","35318"
"202410","충청남도 천안시 서북구","44133","40064"
"202410","충청남도 청양군","44790","32816"
"202410","충청남도 태안군","44825","33586"
"202410","충청남도 홍성군","44800","35466"
"202410","충청북도 괴산군","43760","32221"
"202410","충청북도 단양군","43800","32891"
"202410","충청북도 보은군","43720","32671"
"202410","충청북도 영동군","43740","33187"
"202410","충청북도 옥천군","43730","32498"
"202410","충청북도 음성군","43770","33415"
"202410","충청북도 제천시","43150","34540"
"202410","충청북도 증평군","43745","35439"
"202410","충청북도 진천군","43750","35631"
"202410","충청북도 청주시 상당구","43111","36638"
"202410","충청북도 청주시 서원구","43112","36268"
"202410","충청북도 청주시 청원구","43114","37902"
"202410","충청북도 청주시 흥덕구","43113","39662"
"202410","충청북도 충주시","43130","34614"
